,0,1,2,3,4,5
68,나타샤 남친 있자나~,냥냥2,2023-02-16T01:07:12Z,2023-02-16T01:07:12Z,0,ZfK9ER8Xh7w
69,아는형님 보니까 걸그룹이 입댄 우유는 그냥 그대로 마시던데.. 역시 여자는 괜찮은 건가,Robert Colescott,2023-02-16T00:57:55Z,2023-02-16T00:57:55Z,0,ZfK9ER8Xh7w
70,"결벽증 강박증은 당사자들이 힘든것이고 다른사람에게 피해주는것은 아니므로 욕하면 안된다고 함. 저런걸 보고 같이 사는 가족이 있다면 엄청 불편하겠지만  서장훈은 이혼하고 혼자  사니까 ...
치열한 경쟁사회에서 얼마나 치열하게 스트레스 받으며 살았으면 저리 됬을까...한국사회의 단면을 보는듯..",cu lu,2023-02-16T00:57:35Z,2023-02-16T00:57:35Z,0,ZfK9ER8Xh7w
71,아니 무슨 수술하러 들어감?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,짱깨빵,2023-02-16T00:52:01Z,2023-02-16T00:52:01Z,0,ZfK9ER8Xh7w
72,"서장훈 43살 아닌데  .. 보니까  예전 꺼네요  근데 그런 갭차이를
못느낄정도로  서장훈도  동안이네  .. 벌써 50이라니
세월이 무섭다 ㅜ ㅜ",이유유,2023-02-16T00:50:56Z,2023-02-16T00:50:56Z,2,ZfK9ER8Xh7w
73,근데 막상 들어 갔더니 집 개판이었으면 더 웃겼을 텐데 ㅋㅋㅋ,Adam Hue,2023-02-16T00:36:11Z,2023-02-16T00:36:11Z,0,ZfK9ER8Xh7w
74,"그래서  나타샤는  누구였나요?
우정이 지금도 유지중?  ㅎㅎ",김MD,2023-02-16T00:21:51Z,2023-02-16T00:21:51Z,0,ZfK9ER8Xh7w
75,재미없는  주제,피아스,2023-02-16T00:20:51Z,2023-02-16T00:20:51Z,0,ZfK9ER8Xh7w
76,나는 이 깔끔함이 너무 좋은데?,s남희,2023-02-16T00:19:29Z,2023-02-16T00:19:29Z,1,ZfK9ER8Xh7w
77,와... 들어가자마자 거실 광봐라..ㅡㅡ,우소자牛(宇)小子,2023-02-16T00:02:43Z,2023-02-16T00:02:43Z,0,ZfK9ER8Xh7w
78,세수는 하고 제작진을 맞이해야 되는거 아닌감,피카츄,2023-02-16T00:02:38Z,2023-02-16T00:02:38Z,0,ZfK9ER8Xh7w
