video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
sOLDKX1_EQk,24,Entertainment,침착맨식 냉라면,781251,14,2022-08-21 10:00:30+00:00,None,137
eVaCTseMYfc,24,Entertainment,1000041000,804417,14,2022-08-20 10:00:31+00:00,None,138
CRuFgJtXF1g,24,Entertainment,자존감 상승 프로젝트,792847,14,2022-08-17 10:00:05+00:00,None,139
yMrLT7fdsfI,24,Entertainment,'제임스웹의 과학' 특강 | 우주 망원경 제임스웹,1667535,14,2022-08-02 10:00:38+00:00,None,141
U7Bh0c-HrIo,24,Entertainment,'누리호의 과학' 특강 | 누리호의 성공 분석,1079729,14,2022-08-01 10:00:28+00:00,None,142
ANRBFceIgqc,24,Entertainment,신기한 버거케이크,772142,14,2022-07-31 10:00:08+00:00,None,143
dns5OuAO8EI,24,Entertainment,메리 셀러스트호 실종 사건을 알아보자,962510,14,2022-07-20 10:00:33+00:00,None,148
C3KrfTzGsoI,24,Entertainment,민트초코도 좋고 치킨도 좋은데,837071,14,2022-07-19 10:00:06+00:00,None,149
35NRXg0VRCY,24,Entertainment,소가 훈훈하게 쳐다보는 느낌의 맛,645985,14,2022-07-14 10:00:04+00:00,None,150
bRJI9-yXM5Y,24,Entertainment,하이큐 딱히 좋아하지 않는 사람,782164,14,2022-07-11 10:00:27+00:00,None,151
5zJbPoyc8ng,24,Entertainment,하피자 특) 칼로리 눈치 봄,1898552,14,2022-07-10 10:00:02+00:00,None,152
kWqonje3JsY,24,Entertainment,일본 페양구 야끼소바 컵라면 먹방,938170,14,2022-07-04 10:00:20+00:00,None,155
RjcCm33z2fk,24,Entertainment,한우로 만든 패티를 두 장이나 넣은 폭력적인 버거,713387,14,2022-06-30 10:00:17+00:00,None,157
148yyZCy07E,24,Entertainment,햄버거도 좋고 치킨도 좋은데,929194,14,2022-06-27 10:00:01+00:00,None,158
xdh1SD5SYdY,24,Entertainment,컵라면 나시고르자브종,901100,14,2022-06-23 10:00:46+00:00,None,162
VoLfg_0j4Jw,24,Entertainment,침빠곽 여행 가고 싶은 나라 순위 정하기,2098189,15,2022-06-22 10:00:15+00:00,None,163
6-uqUlKQ02I,24,Entertainment,여행 유튜버 빠니보틀 & 곽튜브 초대석,2286116,15,2022-06-21 10:00:03+00:00,None,164
QsuhIGOXxfs,24,Entertainment,과학으로 본 주호민의 재즈,2958636,15,2022-06-20 10:00:11+00:00,None,165
gYOesQEyaas,24,Entertainment,대학원 다니는 부엉이,1319655,15,2022-06-13 10:00:31+00:00,None,169
Hu_ApmZXxYs,24,Entertainment,들어가고 싶은 원피스 해적단 월드컵,1572579,15,2022-06-12 12:00:09+00:00,None,170
2vmzMpWj0nw,24,Entertainment,Q. 월트 디즈니는 어떤 사람이었을까요?,579580,15,2022-06-09 10:00:01+00:00,None,172
Cp2_wKAeRKs,24,Entertainment,과학으로 본 켄타우로스 바지 입는 법,1414294,15,2022-06-01 10:00:06+00:00,None,174
Ej7TJjAkixU,24,Entertainment,'무협의 과학' 특강 | 주변에서 볼 수 있는 무협,1557198,15,2022-05-31 10:00:10+00:00,None,175
CDARRDw3xpM,24,Entertainment,간편식을 불편하게 먹는 사람,1281137,15,2022-05-30 10:00:05+00:00,None,176
F9IVqbXdjpw,24,Entertainment,나루토를 보려는 이유,607939,15,2022-05-24 10:00:07+00:00,None,179
vBfU2xlZm8o,24,Entertainment,떡볶이도 좋고 치킨도 좋은데,1092782,15,2022-05-23 10:00:28+00:00,None,180
6XGMTHXK8bE,24,Entertainment,오뚜기 양송이 & 옥수수 스프라면 먹방,1078862,15,2022-05-20 10:00:04+00:00,None,181
L88ot-64UUU,24,Entertainment,아빠들의 수다,1521807,15,2022-05-13 10:00:17+00:00,None,183
P3OKINQnpuk,24,Entertainment,웃음의 알렉산드리아 도서관,2305335,26,2022-05-11 10:00:14+00:00,None,184
wUSskdTnd4M,24,Entertainment,셜록현준 교수님의 '도시의 발명' 특강,1399357,26,2022-05-08 13:00:56+00:00,None,185
Hqi6mbTUFuI,24,Entertainment,시청자들과 대결,2220576,26,2022-05-08 10:00:14+00:00,None,186
EC1XqMZj8VU,24,Entertainment,가장 먹고 싶은 아이스크림 월드컵,1871995,26,2022-05-05 10:00:04+00:00,None,187
